,Crop_Name,Crop_Variety,Crop_Category,Part_Used,Industry_Demand,Sowing_Months,Ideal_Soil_Types,Germination_Weather_JSON,Vegetative_Weather_JSON,Flowering_Fruiting_Weather_JSON,Harvesting_Weather_JSON,Nutrient_Needs_NPK,Expected_Yield_per_Acre,Post_Harvest_Handling,Crop_Duration_days_min,Crop_Duration_days_max,Optimal_pH_Range_min,Optimal_pH_Range_max
246,Cactus Pear (Opuntia),O. ficus-indica,Succulent,"Fruit, Pad","Food, Pharma, Fodder",Any time (cutting),"Sandy, loamy, rocky, saline","25-35°C, 40-60% RH","28-40°C, 40-65% RH","25-35°C, 40-60% RH","15-28°C, 40-60% RH",30:20:30 (kg/ha/year),2-3 tons/acre (fruit),"Cleaning, chilling, packaging",,,6.0,8.0
247,Indian Jujube (Indian Ber),Banarasi/Kathaphal,Fruit (Minor),Fruit,"Food, Processing","Jun-Jul, Aug-Sep","Sandy, loamy, red","24-38°C, 55-75% RH","28-38°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 45-60% RH",500:200:200 (g/plant/year),4-7 tons/acre,"Grading, chilling, packaging",150.0,180.0,6.0,8.0
248,Karonda (Carissa),Pusa Satwik,Fruit (Minor),Berry,"Food, Processing",Jul-Aug,"Sandy loam, loamy","24-32°C, 65-75% RH","28-35°C, 65-75% RH","25-32°C, 45-60% RH","22-30°C, 50-60% RH",30:20:20 (kg/ha/year),2-3 tons/acre (berry),"Cleaning, packing, chilling",180.0,210.0,6.0,7.5
249,Aonla (Indian Gooseberry),NA-7,Fruit (Nutraceutical),Fruit,"Food, Pharma, Export",Jul-Sep,"Sandy loam, loam","24-36°C, 60-80% RH","26-38°C, 65-80% RH","28-36°C, 55-70% RH","18-30°C, 45-60% RH",500:200:200 (g/plant/year),7-9 tons/acre,"Grading, packing, chilling",160.0,180.0,6.5,8.0
250,Mulberry (White),S-36,Fruit (Silkworm Feed),"Leaf, Fruit","Food, Feed, Pharma","Feb-Mar, Jul-Aug","Sandy loam, loam","18-28°C, 65-80% RH","26-34°C, 65-80% RH","28-34°C, 50-65% RH","18-28°C, 45-60% RH",60:40:40 (kg/ha/year),5-7 tons/acre fodder/leaf yield,"Cutting, grading, storage",120.0,130.0,6.0,8.0
251,Chikoo (Sapodilla),Cricket Ball,Fruit (Exotic),Fruit,"Fresh, Dessert","Jul-Aug, Feb-Mar","Sandy loam, black, loam","24-32°C, 60-80% RH","28-34°C, 65-80% RH","26-32°C, 50-60% RH","18-24°C, 45-60% RH",600:400:400 (g/plant/year),6-8 tons/acre,"Cleaning, packing, chilling",120.0,150.0,6.0,8.5
252,Bael (Wood Apple),NB-5,Fruit (Nutraceutical),Fruit,"Food, Pharma",Jul-Aug,"Sandy, loamy, black, red","24-36°C, 60-85% RH","26-40°C, 60-80% RH","28-38°C, 55-70% RH","20-30°C, 50-65% RH",500:200:200 (g/plant/year),6-8 tons/acre,"Sorting, grading, storage",180.0,200.0,5.5,7.5
253,Phalsa (Grewia asiatica),Local (Tissue Cultured),Minor Fruit,Berry,"Food, Pharma, Juice",Feb-Mar,"Sandy, loamy, red","24-32°C, 60-75% RH","28-38°C, 65-75% RH","32-38°C, 50-65% RH","16-24°C, 40-55% RH",30:20:20 (kg/ha/year),1-2 tons/acre (fruit),"Cleaning, chilling, packaging",90.0,95.0,6.0,7.5
254,Custard Apple (Annona),Balanagar,Fruit (Exotics),Fruit,"Fresh, Dessert",Jul-Aug,"Black, loamy, red","24-32°C, 65-80% RH","28-34°C, 65-80% RH","28-34°C, 50-65% RH","18-28°C, 45-60% RH",600:400:400 (g/plant/year),5-7 tons/acre,"Cleaning, packing, chilling",200.0,240.0,6.5,7.5
255,Safflower (PBNS-12),Localized,"Oilseed, Ornamental","Seed, Flower","Oil, Dye, Florist",Nov-Dec,"Sandy loam, loam, alluvial","18-28°C, 55-70% RH","22-28°C, 50-60% RH","22-28°C, 50-60% RH","16-22°C, 40-55% RH",60:40:40 (kg/ha),8-10 qtl/acre (seed),"Drying, cleaning, grading",140.0,150.0,6.0,7.5
256,Roselle (Hibiscus),Hisar Sugandha,"Fibre, Ornamental","Calyx, Stem","Beverage, Deco, Dye","Jun-Jul, Feb-Mar","Red, sandy, loamy","25-34°C, 68-80% RH","30-36°C, 60-75% RH","28-34°C, 55-70% RH","20-30°C, 45-65% RH",60:40:40 (kg/ha),11-15 qtl/acre (calyx),"Drying, cleaning, packaging",130.0,145.0,6.0,7.0
257,Marigold (Papaya Marigold),Pusa Narangi,"Floriculture, Edible",Flower,"Decoration, Oil",Aug-Sept,"Sandy loam, loam, rocky","23-30°C, 60-75% RH","24-32°C, 65-80% RH","24-32°C, 50-70% RH","20-28°C, 45-60% RH",80:60:60 (kg/ha),5-6 tons/acre (flowers),"Cutting, grading, storage",110.0,120.0,6.0,7.5
258,Eruca (Arugula),Salad Green Type,Vegetable (Leafy),Leaf,"Food, Salad, Export","Oct-Nov, Feb-Mar","Sandy loam, loam, alluvial","15-25°C, 65-75% RH","18-28°C, 65-80% RH","18-28°C, 60-75% RH","15-24°C, 55-65% RH",60:40:40 (kg/ha),2-3 tons/acre (leaf),"Cleaning, chilling, packaging",30.0,40.0,6.0,7.5
259,"Naranjilla (Solanum quitoense, Trial)",Naranjilla Local,Exotics,Fruit,"Juice, Pharma","Feb-Mar, Jul-Aug","Sandy loam, humid microclimate","20-28°C, 65-85% RH","24-32°C, 65-85% RH","24-32°C, 65-80% RH","24-30°C, 55-70% RH",100:60:60 (kg/ha),2-3 tons/acre (fruit),"Cleaning, packing, chilling",180.0,200.0,6.0,7.0
260,Gherkins,Pant Kheera 1,Vegetable/Ornamental,Fruit,"Pickle, Food, Export","June-July, Feb-Mar","Sandy Loam, Alluvial, Desert Sandy","25-32°C, 65-75% RH","28-36°C, 55-75% RH","25-32°C, 45-65% RH","22-28°C, 45-55% RH",80:50:50 (kg/ha),40-60 qtl/acre,"Sorting, chilling, processing",50.0,60.0,6.0,7.5
261,Brinjal (Exotic),Arka Keshav,Vegetable,Fruit,"Food, Processing","June-July, Feb-Mar","Red, Loamy, Rocky","25-32°C, 65-80% RH","28-35°C, 55-75% RH","22-28°C, 45-60% RH","18-25°C, 45-60% RH",120:80:80 (kg/ha),22-26 tons/acre,"Grading, packaging",120.0,140.0,6.0,6.8
262,Caper,Pant Local,Ornamental/Spice,"Bud, Fruit","Food, Condiment, Pharma",Feb-Mar,"Sandy, Loamy, Rocky","18-25°C, 60-75% RH","25-34°C, 60-75% RH","28-36°C, 45-65% RH","22-30°C, 45-60% RH",60:40:40 (kg/ha),2-4 qtl/acre (dry buds),"Drying, cleaning, packing",240.0,300.0,7.0,8.5
263,Tamarind,Pratisthan,"Fruit, Ornamental",Pod,"Food, Processing, Pharma",Jun-Jul,"Sandy, Red, Loamy","25-35°C, 60-75% RH","28-38°C, 60-80% RH","28-34°C, 45-65% RH","24-32°C, 40-55% RH",120:60:60 (kg/ha),8-10 qtl/acre (pods),"Grading, pulp extraction",90.0,120.0,5.5,7.5
264,Custard Apple,Arka Sahan,Fruit/Ornamental,Fruit,"Food, Processing","Jul-Aug, Feb-Mar","Sandy Loam, Red","22-28°C, 65-80% RH","24-32°C, 60-80% RH","24-30°C, 55-70% RH","20-26°C, 45-60% RH",600:400:400 (g/plant),100-120 kg/plant/year,"Grading, packing",120.0,150.0,5.5,7.0
265,Fig,Pant Narendra,Fruit/Ornamental,Fruit,"Food, Dried Fruit, Pharma","Jan-Feb, Jul-Aug","Sandy, Loamy, Rocky","18-26°C, 65-75% RH","22-32°C, 60-80% RH","24-36°C, 50-65% RH","18-28°C, 45-60% RH",500:300:300 (g/plant),80-100 kg/plant/year,"Drying, packing",150.0,180.0,6.0,8.0
266,Dragon Fruit,Red Beauty,Fruit/Ornamental,Fruit,"Food, Beverage, Ornamental",May-Jun,"Sandy, Loamy, Well-drained","28-35°C, 60-75% RH","30-38°C, 55-75% RH","25-32°C, 48-65% RH","22-30°C, 45-55% RH",150:75:75 (kg/ha),8-12 tons/acre,"Grading, packing",180.0,240.0,5.5,7.5
267,Chia,CIM-Hy-1,Minor Oilseed,Seed,"Food, Health, Export",Oct-Nov,"Sandy, Loamy, Well-drained","18-22°C, 60-70% RH","20-28°C, 55-70% RH","20-24°C, 45-60% RH","18-24°C, 40-60% RH",30:20:20 (kg/ha),2-3 qtl/acre,"Drying, cleaning, grading",100.0,120.0,6.0,7.5
268,Quinoa,IC-411784,Pseudo-cereal,Seed,"Food, Beverage, Health",Oct-Nov,"Sandy, Loamy, Saline","15-22°C, 55-65% RH","20-28°C, 50-60% RH","18-24°C, 45-55% RH","15-22°C, 40-55% RH",40:30:30 (kg/ha),6-8 qtl/acre (grain),"Threshing, drying, grading",110.0,130.0,6.0,8.0
269,Cacti (Opuntia),Santa Rita,Succulent/Ornamental,"Fruit, Pad","Food, Fodder, Pharma",Mar-Apr,"Sandy, Rocky, Arid","22-30°C, 55-65% RH","28-38°C, 45-65% RH","30-38°C, 48-65% RH","22-32°C, 40-55% RH",50:40:40 (kg/ha),6-8 tons/acre (pads),"Washing, slicing, drying",150.0,200.0,6.0,8.5
270,Amaranth,Pant Red Cockscomb,Cereal/Ornamental,"Seed, Leaf","Food, Color, Pharma",Oct-Nov,"Sandy, Loamy, Saline","20-28°C, 60-75% RH","24-36°C, 55-70% RH","24-32°C, 45-65% RH","20-28°C, 50-65% RH",60:40:40 (kg/ha),7-11 qtl/acre (grain),"Threshing, cleaning, drying",90.0,110.0,6.0,7.5
271,Jujube (Ber),Goma Kirti,"Fruit, Ornamental",Fruit,"Food, Beverage, Pharma",Jun-Jul,"Sandy, Loamy, Arid","20-32°C, 55-75% RH","28-38°C, 60-75% RH","28-36°C, 50-70% RH","20-30°C, 45-60% RH",500:200:200 (g/plant),6-8 tons/acre,"Grading, packing, drying",90.0,110.0,6.5,8.5
272,Phalsa,Narendra Falhari,"Berry, Ornamental",Fruit,"Food, Beverage","Jul-Aug, Feb-Mar","Sandy, Loamy, Red","22-30°C, 65-75% RH","28-36°C, 60-75% RH","28-36°C, 55-70% RH","22-32°C, 50-60% RH",80:60:60 (kg/ha),5-6 tons/acre (fresh),"Sorting, packing",85.0,100.0,6.0,7.5
273,Karonda,Pant Sudarshan,"Berry, Ornamental",Fruit,"Food, Beverage, Preserve",Jun-Jul,"Sandy, Loamy, Saline","22-32°C, 65-75% RH","28-38°C, 60-80% RH","28-36°C, 55-70% RH","22-32°C, 50-60% RH",80:60:60 (kg/ha),4-6 tons/acre (fresh),"Sorting, packing",120.0,150.0,6.0,8.0
274,Cape Gooseberry,Pant Rajat,"Berry, Ornamental",Fruit,"Food, Beverage",Jul-Aug,"Sandy, Loamy, Black","20-28°C, 65-75% RH","24-32°C, 60-75% RH","24-32°C, 50-65% RH","20-28°C, 50-65% RH",100:60:60 (kg/ha),8-10 tons/acre,"Drying, packing",120.0,140.0,6.0,7.0
275,Pistachio,"Badami, Gulashraf",Nut,Kernel,"Food, Confectionery, Snacks",Nov-Jan,"Sandy, Loamy, Deep","20-38°C, 60-65% RH","25-35°C, 55-70% RH","25-35°C, 55-70% RH","25-35°C, 55-70% RH",80:40:30 kg/ha,1.5-2.5 qtl (kernel),"Sun-drying, cleaning, industrial buyers",900.0,1000.0,7.0,8.5
276,Fig,"Deanna, Poona",Minor Fruit,Fruit,"Dried fruits, Pharma, Confectionery","Feb-Mar, Aug-Sep","Red, Sandy, Loamy","20-38°C, 65-80% RH","25-35°C, 60-80% RH","25-35°C, 60-80% RH","25-35°C, 60-80% RH",40:30:30 kg/ha,8-12 tons (fresh),"Drying, grading, packaging",120.0,150.0,6.5,8.5
277,Kiwi,"Allison, Bruno",Minor Fruit,Fruit,"Export, Juice, Dessert","Dec-Jan, Sep-Oct","Sandy loam, Alluvial","18-32°C, 65-80% RH","20-30°C, 60-80% RH","20-30°C, 60-80% RH","20-30°C, 60-80% RH",70:30:30 kg/ha,12-15 tons (fresh),"Grading, ripening, cold chain",580.0,600.0,5.5,7.5
278,Jojoba,Simmondsia chinensis,"Oilseed, Edible Oil","Seed, Oil","Cosmetics, Pharma, Bio-lubricant","Feb-Mar, Sep-Oct","Desert sandy, Loamy","28-38°C, 50-75% RH","30-38°C, 55-75% RH","30-38°C, 55-75% RH","30-38°C, 55-75% RH",20:20:20 kg/ha,1.5-2.5 qtl (seed),"Oil extraction, contract market",1800.0,2000.0,6.5,8.5
279,Cactus Pear,"Opuntia, Nopal","Minor Fruit, Forage","Fruit, Stem","Food, Drink, Nutraceutical, Fodder","May-Jun, Sep-Oct","Desert, Rocky, Sandy","25-38°C, 55-70% RH","28-38°C, 55-70% RH","28-38°C, 55-70% RH","28-38°C, 55-70% RH",60:40:40 kg/ha,8-12 tons (fruit),"Grading, peeling, juice, or oil uses",,,6.0,8.5
280,Gooseberry (Aonla),"NA-7, Anand-2",Minor Fruit,Fruit,"Food, Pharma, Cosmetics, Export",Jul-Sep,"Red, Sandy loam, Loam","24-38°C, 60-85% RH","28-38°C, 60-85% RH","28-38°C, 60-85% RH","28-38°C, 60-85% RH",500:250:300 g/plant/year,7-10 tons (fruit),"Contract drying, powder, pharma",120.0,150.0,6.5,8.0
281,Stevia,CIMAP S-13,Edible Ornamental,Leaf,"Sweetener, Pharma, Export","Mar-Jun, Jul-Aug","Red, Loamy, Rocky","25-34°C, 55-75% RH","28-36°C, 55-75% RH","28-36°C, 55-75% RH","28-36°C, 55-75% RH",60:40:40 kg/ha,2-3 tons (dry leaf),"Drying, extraction (processors)",120.0,140.0,6.0,7.5
282,Saffron,Pampore Local,Minor Spice,Stigma,"Pharma, Food, Export",Sep-Oct,"Silty loam, Sandy","10-18°C, 45-65% RH","15-22°C, 50-65% RH","15-22°C, 50-65% RH","15-22°C, 50-65% RH",15:15:30 kg/ha,0.5-0.8 kg (dry),"Drying, airtight packing, premium sales",120.0,140.0,6.5,7.5
283,Walnut,"Wilson, Elvira",Nut,Kernel,"Food, Bakery, Pharma",Oct-Dec,"Alluvial, Deep loam","10-28°C, 65-80% RH","18-28°C, 65-80% RH","18-28°C, 65-80% RH","18-28°C, 65-80% RH",80:40:40 kg/ha,3-4 qtl (shelled),"Sun drying, cleaning, grading",900.0,1000.0,6.5,7.5
284,Aloe Vera,IC111271,"Medicinal, Succulent",Leaf Gel,"Pharma, Cosmetic, Food","Mar-Jun, Sep","Desert, Loamy","18-38°C, 40-75% RH","25-38°C, 45-75% RH","25-38°C, 45-75% RH","25-38°C, 45-75% RH",120:60:60 kg/ha,8-12 tons (leaf),"Washing, slicing, processing",270.0,300.0,7.0,8.5
285,Drumstick,PKM 1,Edible Ornamental,"Pod, Leaf","Food, Pharma, Export","Jun-Jul, Feb-Mar","Sandy loam, Loam","18-36°C, 45-78% RH","25-36°C, 55-78% RH","25-36°C, 55-78% RH","25-36°C, 55-78% RH",30:30:20 kg/ha,10-12 tons (pod),"Grading, drying, pharma buyers",210.0,225.0,6.5,7.5
286,Curry Leaf,Suvasini,"Aromatic, Ornamental",Leaf,"Essential Oil, Food, Pharma","Feb-Mar, Jun-Jul","Red, Loamy, Rocky","24-36°C, 55-80% RH","28-36°C, 60-85% RH","28-36°C, 60-85% RH","28-36°C, 60-85% RH",60:40:40 kg/ha,6-8 tons (leaf),"Grading, cool-chain, exporter buyers",180.0,210.0,6.5,7.5
287,Safflower,"PBNS-12, NARI-6","Oilseed, Dye, Ornamental","Seed, Flower","Oil, Dye, Medicinal",Oct-Nov,"Sandy, Loamy, Arid","18-32°C, 60-80% RH","22-32°C, 60-80% RH","22-32°C, 60-80% RH","22-32°C, 60-80% RH",60:40:40 kg/ha,4-6 qtl (seed),"Oil/dye extraction, pharma color market",150.0,170.0,6.0,8.0
288,Roselle (Hibiscus),Hisar Sugandha,"Fibre, Ornamental, Beverage","Calyx, Stem","Beverage, Deco, Pharma","Jun-Jul, Feb-Mar","Red, Sandy, Loamy","25-36°C, 68-80% RH","28-36°C, 65-80% RH","28-36°C, 65-80% RH","28-36°C, 65-80% RH",60:40:40 kg/ha,11-15 qtl/acre (calyx),"Drying, calyx cutting, packaging",130.0,145.0,6.0,7.0
289,Karonda,Pant Sudarshan,"Berry, Ornamental",Fruit,"Food, Beverage, Preserves",Jun-Jul,"Sandy, Loamy, Saline","22-38°C, 55-75% RH","26-38°C, 55-75% RH","26-38°C, 55-75% RH","26-38°C, 55-75% RH",80:60:60 kg/ha,4-6 tons (fresh),"Sorting, grading, syrup industries",120.0,150.0,6.0,8.0
290,Phalsa,Narendra Falhari,"Berry, Ornamental",Fruit,"Food, Juice, Pharma",Feb-Mar,"Sandy, Loamy, Red","24-38°C, 60-75% RH","28-38°C, 60-75% RH","28-38°C, 60-75% RH","28-38°C, 60-75% RH",30:20:20 kg/ha,1-2 tons (fruit),"Sorting, juice extraction, pharma use",90.0,95.0,6.0,7.5
291,Cape Gooseberry,Pant Rajat,"Berry, Ornamental",Fruit,"Food, Drink, Export",Jul-Aug,"Sandy, Loamy, Red/Black","20-32°C, 60-75% RH","24-32°C, 60-75% RH","24-32°C, 60-75% RH","24-32°C, 60-75% RH",100:60:60 kg/ha,8-10 tons (fruit),"Drying, packaging, gourmet export",120.0,140.0,6.0,7.0
292,Chia,CIM-Hy-1,"Oilseed, Ornamental",Seed,"Nutraceutical, Feed, Oil",Oct-Nov,"Sandy, Loamy, Well-drained","18-28°C, 55-70% RH","22-28°C, 55-70% RH","22-28°C, 55-70% RH","22-28°C, 55-70% RH",30:20:20 kg/ha,2-3 qtl (seed),"Drying, cleaning, packing",100.0,120.0,6.0,7.5
293,Quinoa,IC-411784,Pseudo-cereal,Seed,"Export, Health Food, Pharma",Oct-Nov,"Sandy, Loamy, Saline","15-28°C, 45-65% RH","20-28°C, 50-65% RH","20-28°C, 50-65% RH","20-28°C, 50-65% RH",40:30:30 kg/ha,6-8 qtl/acre,"Threshing, drying, air-sealing",110.0,130.0,6.0,8.0
295,Indian Aloe,IC 111271,Medicinal,Leaf Gel,"Pharma, Cosmetic, Food","Mar-Jun, Sep","Desert Sandy, Loamy","25-38°C, 45-75% RH","25-38°C, 40-65% RH","18-32°C, 40-60% RH",120:60:60 (kg/ha),8-12 tons (leaf),"Leaf washing, gel extraction","Native, wild-cultivated",240.0,300.0,,
296,Indian GinsengÂ (Withania somnifera),Poshita/Ashawagandha-20,Medicinal,"Root, Leaf","Pharma, Ayurveda",Jun-Jul,"Red, Loamy, Rocky","28-38°C, 45-65% RH","22-26°C, 40-60% RH","21-27°C, 40-56% RH",25:25:0 (kg/ha),8-11 qtl (root),"Washing, drying, grading","Wild, improved cultivars",150.0,180.0,,
297,Indian MoringaÂ (Drumstick),PKM 1,Horticultural/Medicinal,"Pod, Leaf, Seed","Food, Processing, Medicine","Jun-Jul, Feb-Mar","Red, Sandy, Loamy","28-36°C, 55-75% RH","28-36°C, 55-70% RH","18-26°C, 45-65% RH",30:30:20 (kg/ha),10-12 tons,"Grading, packing, chilling","Native, drought-hardy",220.0,225.0,,
298,Sacred FigsÂ (Ficus religiosa),Local Landrace,Wild Edible/Medicinal,"Bark, Leaf, Fruit","Pharma, Ritual, Food",Mar-Jun,"Black, Loamy, Red, Rocky","25-40°C, 55-80% RH","25-40°C, 55-80% RH",Dry season harvest,45:15:30 (kg/ha),Variable,"Bark/leaf collection, fruit harvesting","Wild, sacred, slow-growing",,,,
299,Desert DateÂ (Balanites aegyptiaca),Local Landrace,Wild Edible/Medicinal,"Fruit, Pulp, Seed","Pharma, Food, Oil, Biofuel",Mar-Jun,"Desert Sandy, Arid","34-42°C, 30-58% RH","32-40°C, 38-60% RH","Dry, mature fruits",40:20:20 (kg/ha),0.5-1 ton,"Fruit drying, seed oil extraction","Wild, drought-hardy",,,,
300,"Wild FigÂ (Ficus palmeri, F. indica)",Local/Forest Type,Wild Edible,"Fruit, Latex","Food, Pharma",Mar-Jun,"Red, Rocky, Forest Loamy","28-38°C, 55-85% RH","28-38°C, 60-78% RH",Dry season,45:15:30 (kg/ha),Variable,"Fruit picking, latex collection","Wild, relict species",,,,
301,Indian SaffronÂ (Crocus sativus),Pampore Local,Spice/Medicinal,Stigma,"Food, Pharma, Export",Sep-Oct,"Sandy Loam, Silty Loam","15-21°C, 55-68% RH","12-18°C, 45-65% RH","10-18°C, 45-65% RH",15:15:30 (kg/ha),0.5-0.8 kg (dry stigma),"Stigma plucking, drying, air-sealing","High-value, rare",180.0,210.0,,
302,Indian LiquoriceÂ (Abrus precatorius),Wild Type,Medicinal/Edible,"Root, Seed","Pharma, Ritual, Food",Mar-Jun,"Black, Red, Loamy","32-40°C, 60-75% RH","30-40°C, 55-70% RH",Dry pods,Data not available,Wild collected,"Root/shell cleaning, seeds",Extremely toxic seeds,,,,
303,Wild AsparagusÂ (Asparagus racemosus),Wild Type,Medicinal,Root,"Pharma, Ayurveda",Mar-Jun,"Red, Loamy, Rocky","24-32°C, 65-80% RH","20-26°C, 60-75% RH","18-25°C, 50-70% RH",100:50:50 (kg/ha),2-4 tons (root),"Washing, drying, grading","Wild, high-value root",210.0,240.0,,
304,"Perennial BasilÂ (Ocimum spp., forest types)",Wild/Forest Landrace,Medicinal/Aromatic,"Leaf, Oil","Pharma, Aroma, Food","Feb-Mar, Oct","Red, Forest, Loamy","24-32°C, 65-85% RH","24-32°C, 55-65% RH","20-26°C, 45-60% RH",100:60:40 (kg/ha),4-5 tons (herbage),"Drying, distillation","Wild, naturalized",,,,
305,Indian GooseberryÂ (Phyllanthus emblica),NA-7,Fruit/Medicinal,Fruit,"Pharma, Food, Export",Jul-Sep,"Red, Loamy, Rocky","26-38°C, 60-80% RH","28-36°C, 55-70% RH","18-30°C, 50-65% RH",500:200:200 (g/plant/year),7-9 tons,"Sorting, grading, packing","Wild, improved cultivars",160.0,180.0,,
306,Khimp (Leptadenia pyrotechnica),Wild/Desert Landrace,Wild Edible/Aromatic,"Leaf, Stem, Pod","Food, Fodder, Medicinal",Mar-Jun,"Desert Sandy, Saline","35-45°C, 40-55% RH","30-38°C, 38-53% RH","Dry pods, leaves",Data not available,Wild collected,"Leaf/pod picking, drying","Desert wild, rare",,,,
307,Clove,Balaclava,Spice,Bud,"Food, Pharma, Export",Jun-Jul,"Red, Sandy, Loamy","25-32°C, 70-80% RH","28-34°C, 65-80% RH","26-32°C, 60-75% RH","22-28°C, 50-65% RH",120:60:40 (kg/ha),0.5-0.8 kg/acre (dry bud),"Sun drying, grading, storage",1680.0,2100.0,5.5,7.0
308,Cardamom,Mudigere-1,Spice,Capsule,"Food, Pharma, Export","Mar-Jun, Aug","Forest, Loamy","22-28°C, 70-85% RH","26-32°C, 65-80% RH","22-28°C, 60-80% RH","18-24°C, 50-60% RH",90:60:80 (kg/ha),0.6-1.0 qtl/acre (capsule),"Drying, sorting, grading",720.0,840.0,6.0,7.0
309,Calendula,PVK-1,Medicinal,Flower,"Pharma, Dye, Export","Oct-Nov, Feb-Apr","Sandy, Loamy","15-25°C, 60-75% RH","18-28°C, 55-65% RH","18-28°C, 50-60% RH","14-22°C, 45-60% RH",60:40:40 (kg/ha),3-5 tons/acre (flower),"Drying, grading, decoction",90.0,120.0,6.0,8.0
310,Kalanchoe,Panvel Double,Medicinal,"Leaf, Flower","Pharma, Ornamental","Oct-Nov, Feb","Desert, Loamy, Rocky","20-28°C, 55-70% RH","24-32°C, 60-75% RH","24-32°C, 55-65% RH","18-26°C, 45-60% RH",80:40:40 (kg/ha),2-3 tons/acre (biomass),"Drying, extraction",105.0,120.0,6.0,7.5
311,Salvia,CIM-Sakura,Medicinal,Leaf,"Pharma, Aroma","Aug-Sep, Feb-Mar","Desert, Red Sandy","15-25°C, 60-70% RH","22-32°C, 65-75% RH","22-28°C, 60-75% RH","20-28°C, 50-65% RH",100:50:50 (kg/ha),5-6 tons/acre (leaf),"Drying, distillation",150.0,180.0,6.0,7.5
312,Brahmi,Saraswati,Medicinal,Whole Plant,"Pharma, Ayurveda",Jun-Jul,"Sandy, Loamy, Wet","22-30°C, 75-90% RH","30-36°C, 65-85% RH","28-32°C, 60-80% RH","22-28°C, 65-85% RH",60:40:40 (kg/ha),6-8 qtl/acre (dry herb),"Drying, powdering, packaging",110.0,130.0,6.5,7.8
313,Safed Musli,Local,Medicinal,Tuber,"Pharma, Nutraceutical",Jul-Aug,"Black, Loamy, Sandy","24-32°C, 65-80% RH","28-36°C, 65-80% RH","24-32°C, 60-80% RH","20-28°C, 55-70% RH",60:40:40 (kg/ha),15-20 qtl/acre (fresh tuber),"Washing, drying, grading",270.0,300.0,6.0,7.5
314,Senna,Sonipat Selections,Medicinal,"Leaf, Pod","Pharma, Export",Jun-Jul,"Desert, Sandy, Loamy","25-35°C, 55-70% RH","30-38°C, 55-70% RH","28-34°C, 50-65% RH","24-32°C, 40-55% RH",60:40:40 (kg/ha),8-10 qtl/acre (dry leaf),"Drying, cleaning, grading",120.0,150.0,6.0,8.0
315,Vetiver,KS-1,Aromatic,Root,"Perfume, Cosmetic",Jul-Aug,"Red, Loamy, Sandy","25-32°C, 65-75% RH","28-36°C, 65-80% RH","24-32°C, 55-70% RH","22-30°C, 45-60% RH",100:50:50 (kg/ha),1.5-2.0 tons/acre (root),"Drying, distillation, oil",300.0,330.0,6.0,7.5
316,Patchouli,CIM-Harman,Aromatic,"Leaf, Oil","Perfume, Pharma",Jun-Jul,"Forest, Loamy","22-28°C, 60-70% RH","24-32°C, 65-75% RH","22-28°C, 55-65% RH","20-26°C, 50-60% RH",80:60:60 (kg/ha),5-6 tons/acre (herbage),"Drying, distillation",150.0,180.0,6.0,7.0
317,Lemongrass (Cymbopogon martini),Nima,Aromatic,"Leaf, Oil","Essential Oil, Pharma",Feb-Mar,"Desert, Sandy","22-30°C, 60-70% RH","26-36°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 50-60% RH",100:60:60 (kg/ha),14-16 tons/acre (fresh),"Drying, distillation, storage",180.0,220.0,6.0,7.5
318,Rosemary,CIM-Hariyali,Aromatic,"Leaf, Oil","Essential Oil, Cosmetics","Oct-Nov, Feb-Mar","Red, Sandy, Loamy","15-24°C, 60-80% RH","18-30°C, 65-75% RH","20-34°C, 40-60% RH","18-28°C, 45-65% RH",75:50:50 (kg/ha),3.5-4.5 tons/acre (herbage),"Drying, distillation",120.0,135.0,6.0,7.0
319,Mint (Mentha arvensis),Himalaya,Aromatic,"Leaf, Oil","Essential Oil, Pharma","Feb-Mar, Oct","Red, Forest, Loamy","22-28°C, 60-80% RH","24-32°C, 65-75% RH","20-30°C, 50-65% RH","15-24°C, 45-65% RH",120:80:80 (kg/ha),180-210 kg oil/acre,"Drying, distillation",90.0,95.0,6.0,7.5
320,Aloe Vera,IC111271,Medicinal,Leaf Gel,"Pharma, Cosmetic, Food","Mar-Jun, Sep","Desert, Sandy, Loamy","22-30°C, 50-70% RH","25-38°C, 45-75% RH","25-38°C, 40-65% RH","18-32°C, 40-60% RH",120:60:60 (kg/ha),8-12 tons/acre (leaf),"Washing, gel extraction",270.0,300.0,7.0,8.5
321,Drumstick,KM-1,Horticultural,"Pod, Leaf","Food, Processing","Jun-Jul, Feb-Mar","Alluvial, Loamy, Sandy","25-32°C, 60-70% RH","28-36°C, 55-75% RH","28-36°C, 55-70% RH","18-26°C, 45-65% RH",30:30:20 (kg/ha),10-13 tons/acre,"Grading, chilling, packaging",210.0,220.0,6.5,7.0
322,Curry Leaf,Suvasini,Horticultural,Leaf,"Food, Pharma, Aroma","Feb-Mar, Jun-Jul","Red, Sandy, Loamy","25-32°C, 60-75% RH","28-36°C, 55-65% RH","24-36°C, 45-65% RH","20-30°C, 45-60% RH",60:40:40 (kg/ha/year),6-8 tons/acre (leaves),"Grading, packaging, chilling",155.0,180.0,6.5,7.5
